Year,Afghanistan,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Cote d'Ivoire,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Malawi,Mali,Mauritania,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,The Gambia,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan
1990,60,60,64,45,53,44,48,46,53,50,48,39,52,39,58,36,49,42,37,41,44,42,40,48,38,57,52,42,41,53,46,57,50,51,49,42,43,37,46,49,49,51,41,43,43,62,44,60,53,60
1995,60,60,64,46,53,44,49,46,53,50,48,39,52,39,59,36,49,42,37,41,44,43,41,48,39,57,52,42,41,53,46,57,50,51,49,42,43,36,46,49,49,51,41,43,44,62,45,60,53,60
2000,60,60,64,46,53,44,49,46,53,50,49,39,53,39,59,37,49,42,38,42,44,43,41,49,39,57,52,42,41,53,46,57,50,51,49,42,43,37,46,50,49,51,41,43,44,62,45,60,53,60
2005,60,60,64,46,53,45,49,47,53,51,49,39,54,42,60,37,50,43,39,42,44,44,41,49,40,58,52,43,42,53,46,57,50,51,48,43,43,38,47,50,50,51,42,43,44,62,46,60,53,60
2010,61,60,63,47,53,45,49,47,53,52,49,39,56,45,61,38,50,43,39,42,45,44,41,49,40,58,51,43,42,54,46,57,51,52,47,43,44,38,47,50,50,51,43,44,45,62,46,59,53,61
2011,61,60,63,47,53,45,50,47,53,52,49,40,57,46,62,38,51,43,40,43,45,44,41,49,40,59,51,44,43,54,46,56,51,52,47,43,45,38,48,50,50,51,44,44,45,62,47,59,53,61
2012,61,61,63,47,53,46,50,47,53,52,49,40,57,46,62,38,51,44,40,43,45,45,41,49,40,59,51,44,43,55,46,56,51,52,47,43,45,38,48,50,51,52,44,44,46,62,47,59,53,61
2013,61,61,62,47,53,46,50,47,54,52,49,40,58,47,62,39,51,44,40,43,46,45,42,49,41,59,51,44,43,55,46,56,52,52,47,44,45,39,48,50,51,52,44,45,46,63,47,59,53,61
2014,61,61,62,48,54,46,50,47,54,53,50,40,58,48,63,39,51,44,40,43,46,45,42,49,41,60,51,44,43,55,46,56,52,52,47,44,45,39,48,50,51,52,44,45,46,63,48,59,53,61
2015,61,61,62,48,54,46,50,48,54,53,50,40,59,48,63,39,51,44,40,43,46,45,42,49,41,60,51,44,44,56,46,56,52,53,47,44,46,39,48,50,51,52,45,45,46,63,48,59,53,61
2016,62,61,62,48,54,46,50,48,54,53,50,40,59,49,63,39,52,45,41,43,46,45,42,49,41,60,51,45,44,56,46,56,52,53,47,44,46,39,48,50,52,52,45,45,46,63,48,59,53,62
2017,62,61,62,48,54,46,50,48,54,53,49,40,59,50,64,40,52,45,41,44,47,45,42,49,41,60,51,45,44,56,46,56,52,53,47,44,46,39,49,50,52,52,45,46,47,63,48,59,53,62