Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Congo,Cote d'Ivoire,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Malawi,Mali,Mauritania,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Swaziland,Tanzania,The Gambia,Togo,Tunisia,Uganda,Zambia,Zimbabwe
1990,0.02,0.94,0.98,0.76,0.98,1,0.91,1,0.98,0.96,0.92,1,0.8,0.08,0.99,0.91,0.27,0.64,0.95,0.99,0.99,0.88,0.65,0.99,0.011,0.99,0.99,0.44,0.039,0.99,0.81,0.99,0.89,1,0.85,0.97,1,0.44,1,0.79,0.85,0.99,0.98,0.99,0.1,0.99,0.87,0.79
1995,0.018,0.91,0.98,0.65,0.98,0.99,0.88,1,0.98,0.94,0.88,1,0.69,0.09,0.98,0.85,0.34,0.5,0.93,0.99,0.99,0.84,0.63,0.99,0.0087,0.98,0.98,0.55,0.027,0.99,0.75,0.99,0.86,1,0.77,0.97,0.99,0.38,1,0.84,0.81,0.98,0.98,0.98,0.06,0.99,0.85,0.72
2000,0.017,0.83,0.97,0.58,0.97,0.99,0.84,0.99,0.98,0.9,0.85,0.99,0.54,0.07,0.97,0.83,0.74,0.37,0.92,0.99,0.99,0.84,0.64,0.99,0.007,0.98,0.98,0.6,0.034,0.98,0.7,0.99,0.83,1,0.69,0.97,0.99,0.35,1,0.88,0.77,0.98,0.98,0.98,0.033,0.99,0.82,0.69
2005,0.011,0.72,0.96,0.51,0.96,0.99,0.81,0.99,0.97,0.85,0.83,0.99,0.36,0.043,0.93,0.83,0.91,0.28,0.91,0.99,0.99,0.87,0.67,0.99,0.0042,0.98,0.98,0.63,0.038,0.98,0.66,0.99,0.82,1,0.72,0.97,0.99,0.29,1,0.82,0.69,0.97,0.97,0.97,0.015,0.98,0.81,0.71
2010,0.0068,0.61,0.94,0.49,0.96,0.99,0.79,0.99,0.97,0.77,0.83,0.98,0.33,0.023,0.89,0.84,0.93,0.21,0.85,0.98,0.98,0.86,0.66,0.98,0.0021,0.97,0.97,0.6,0.03,0.97,0.63,0.99,0.77,0.99,0.78,0.97,0.99,0.21,0.99,0.71,0.52,0.97,0.96,0.96,0.007,0.98,0.83,0.72
2011,0.006,0.59,0.94,0.5,0.96,0.99,0.78,0.99,0.97,0.75,0.83,0.97,0.33,0.02,0.88,0.84,0.93,0.19,0.83,0.98,0.98,0.85,0.65,0.98,0.0019,0.97,0.97,0.59,0.027,0.97,0.62,0.99,0.76,0.99,0.79,0.97,0.99,0.2,0.99,0.69,0.49,0.97,0.96,0.96,0.006,0.98,0.84,0.72
2012,0.0053,0.59,0.93,0.5,0.95,0.99,0.76,0.99,0.97,0.73,0.83,0.97,0.32,0.017,0.87,0.84,0.92,0.18,0.82,0.98,0.98,0.84,0.65,0.98,0.0016,0.97,0.97,0.59,0.025,0.97,0.61,0.99,0.75,0.99,0.8,0.97,0.99,0.18,0.99,0.67,0.46,0.97,0.96,0.95,0.0053,0.98,0.85,0.71
2013,0.0049,0.58,0.92,0.5,0.95,0.99,0.74,0.99,0.96,0.71,0.83,0.97,0.31,0.015,0.86,0.83,0.92,0.17,0.8,0.98,0.98,0.83,0.64,0.98,0.0014,0.96,0.97,0.58,0.023,0.97,0.6,0.99,0.74,0.99,0.82,0.97,0.99,0.16,0.99,0.66,0.44,0.96,0.96,0.95,0.0046,0.98,0.85,0.71
2014,0.0044,0.57,0.92,0.5,0.95,0.99,0.72,0.99,0.96,0.69,0.83,0.97,0.3,0.013,0.84,0.83,0.91,0.16,0.78,0.98,0.98,0.82,0.63,0.98,0.0012,0.96,0.97,0.57,0.02,0.96,0.59,0.99,0.74,0.99,0.82,0.97,0.99,0.15,0.99,0.65,0.42,0.96,0.95,0.94,0.004,0.98,0.85,0.7
2015,0.004,0.57,0.91,0.49,0.95,0.99,0.7,0.99,0.96,0.67,0.82,0.97,0.29,0.011,0.83,0.82,0.9,0.15,0.76,0.98,0.97,0.81,0.62,0.98,0.0011,0.96,0.97,0.56,0.018,0.96,0.57,0.99,0.73,0.99,0.83,0.97,0.99,0.13,0.99,0.64,0.4,0.96,0.95,0.94,0.0035,0.97,0.85,0.69
2016,0.0035,0.56,0.9,0.47,0.95,0.99,0.67,0.98,0.96,0.65,0.82,0.96,0.28,0.0093,0.81,0.81,0.89,0.14,0.75,0.98,0.97,0.81,0.6,0.97,0.00096,0.96,0.97,0.54,0.017,0.96,0.56,0.98,0.72,0.99,0.84,0.97,0.99,0.12,0.99,0.62,0.38,0.96,0.95,0.93,0.0031,0.97,0.85,0.68
2017,0.0032,0.56,0.9,0.46,0.95,0.99,0.65,0.98,0.96,0.63,0.81,0.96,0.27,0.008,0.79,0.8,0.89,0.13,0.73,0.98,0.97,0.8,0.59,0.97,0.00083,0.95,0.97,0.53,0.015,0.95,0.54,0.98,0.72,0.99,0.84,0.97,0.99,0.11,0.99,0.6,0.37,0.96,0.95,0.93,0.0027,0.97,0.85,0.67